block_code,inbound_factory,outbound_factory,inbound_date,outbound_date,length_m,width_m,height_m
B000001,1dock-P-no-2,1dock-f-no-1,2026-01-01,2026-01-01,6.9,13.7,5.3
B000002,texaco-p-no-1,e4-f-no-3,2026-01-01,2026-01-01,5.3,9,14.4
B000003,texaco-p-no-1,texaco-f-no-1,2026-01-01,2026-01-01,83.7,13.9,5.8
B000004,1dock-P-no-2,wharf-f-no-5,2026-01-01,2026-01-02,6.2,15.2,5.5
B000005,1dock-P-no-2,texaco-f-no-1,2026-01-01,2026-01-02,17.1,8.7,9.8
B000006,2dock-P-no-1,wharf-f-no-2,2026-01-01,2026-01-02,2,10.3,3.7
B000007,2dock-P-no-2,2dock-f-no-1,2026-01-01,2026-01-02,15.7,10.4,4.3
B000008,e4-p-no-1,e4-f-no-2,2026-01-01,2026-01-02,20.4,11,4.1
B000009,e4-p-no-7,e4-f-no-3,2026-01-01,2026-01-02,2,10.2,4.1
B000010,texaco-p-no-4,e4-f-no-5,2026-01-01,2026-01-02,2,8,4.6
B000011,1dock-P-no-2,e4-f-no-4,2026-01-01,2026-01-03,62.4,16.3,4.9
B000012,2dock-P-no-2,wharf-f-no-5,2026-01-01,2026-01-03,6.7,11.8,11.4
B000013,2dock-P-no-3,1dock-f-no-1,2026-01-01,2026-01-03,7.1,8.8,7.1
B000014,texaco-p-no-1,texaco-f-no-3,2026-01-01,2026-01-04,6.1,17.1,6
B000015,texaco-p-no-6,texaco-f-no-3,2026-01-01,2026-01-04,14.4,16.5,3.8
B000016,1dock-P-no-1,2dock-f-no-2,2026-01-01,2026-01-05,7,15,5
B000017,1dock-P-no-1,1dock-f-no-1,2026-01-01,2026-01-05,3.7,10,6
B000018,1dock-P-no-2,2dock-f-no-2,2026-01-01,2026-01-05,8,17.1,3.9
B000019,1dock-P-no-2,wharf-f-no-4,2026-01-01,2026-01-05,16.5,11.5,4.8
B000020,1dock-P-no-2,wharf-f-no-4,2026-01-01,2026-01-05,8.1,19.1,3.1
B000021,1dock-P-no-2,1dock-f-no-1,2026-01-01,2026-01-05,6.7,16.5,3.8
B000022,2dock-P-no-1,wharf-f-no-2,2026-01-01,2026-01-05,5.6,9.2,3.7
B000023,2dock-P-no-2,e4-f-no-3,2026-01-01,2026-01-05,11.2,20.4,10.8
B000024,2dock-P-no-4,1dock-f-no-1,2026-01-01,2026-01-05,7.2,15.9,3.5
B000025,e4-p-no-1,e4-f-no-1,2026-01-01,2026-01-05,4.3,9.1,6.3
B000026,e4-p-no-1,e4-f-no-3,2026-01-01,2026-01-05,2.3,8.6,12.3
B000027,texaco-p-no-1,texaco-f-no-2,2026-01-01,2026-01-05,3.3,9.9,4.8
B000028,1dock-P-no-1,wharf-f-no-3,2026-01-01,2026-01-06,8.1,15,8.8
B000029,1dock-P-no-2,2dock-f-no-1,2026-01-01,2026-01-06,11.8,20.3,5
