road_id,from_node,to_node,from_lat,from_lon,to_lat,to_lon,l2_distance_m,road_distance_m,road_class,speed_kmh,travel_time_min,is_bidirectional
R0001,1dock-f-no-1,2dock-f-no-1,34.876350,128.702080,34.875200,128.701000,161.4,180,internal_lane,12,0.9,true
R0002,1dock-f-no-1,2dock-f-no-2,34.876350,128.702080,34.876400,128.702300,20.8,23.2,internal_lane,12,0.12,true
R0003,1dock-f-no-1,2dock-P-no-3,34.876350,128.702080,34.875200,128.704600,263.1,309.5,connector,18,1.03,true
R0004,1dock-P-no-1,1dock-P-no-2,34.869100,128.693200,34.870500,128.693100,155.9,186.8,internal_lane,12,0.93,true
R0005,1dock-P-no-1,1dock-P-no-3,34.869100,128.693200,34.871100,128.692400,234.1,280.6,connector,18,0.94,true
R0006,1dock-P-no-1,1dock-s-no-1,34.869100,128.693200,34.869000,128.694400,110,126,internal_lane,12,0.63,true
R0007,1dock-P-no-2,1dock-P-no-3,34.870500,128.693100,34.871100,128.692400,92.4,101.3,internal_lane,12,0.51,true
R0008,1dock-P-no-2,1dock-P-no-6,34.870500,128.693100,34.871800,128.692800,147.1,162,internal_lane,12,0.81,true
R0009,1dock-P-no-2,1dock-s-no-1,34.870500,128.693100,34.869000,128.694400,204.7,255.8,connector,18,0.85,true
R0010,1dock-P-no-3,1dock-P-no-6,34.871100,128.692400,34.871800,128.692800,86,103.5,internal_lane,12,0.52,true
R0011,1dock-P-no-4,1dock-P-no-5,34.872100,128.694800,34.872900,128.695400,104.4,117,internal_lane,12,0.59,true
R0012,1dock-P-no-4,1dock-P-no-6,34.872100,128.694800,34.871800,128.692800,185.5,208.3,internal_lane,12,1.04,true
R0013,1dock-P-no-4,1dock-P-no-7,34.872100,128.694800,34.873500,128.694400,159.9,179.5,internal_lane,12,0.9,true
R0014,1dock-P-no-4,1dock-s-no-2,34.872100,128.694800,34.871300,128.696800,203,238,internal_lane,12,1.19,true
R0015,1dock-P-no-4,1dock-s-no-4,34.872100,128.694800,34.873300,128.694800,133.4,156.7,internal_lane,12,0.78,true
R0016,1dock-P-no-5,1dock-P-no-7,34.872900,128.695400,34.873500,128.694400,113,125,internal_lane,12,0.63,true
R0017,1dock-P-no-5,1dock-s-no-3,34.872900,128.695400,34.875190,128.696680,280.1,330.8,connector,18,1.1,true
R0018,1dock-P-no-5,1dock-s-no-4,34.872900,128.695400,34.873300,128.694800,70.5,83.7,internal_lane,12,0.42,true
R0019,1dock-P-no-7,1dock-s-no-3,34.873500,128.694400,34.875190,128.696680,280.3,309.2,connector,18,1.03,true
R0020,1dock-P-no-7,1dock-s-no-4,34.873500,128.694400,34.873300,128.694800,42.7,47.3,internal_lane,12,0.24,true
R0021,1dock-s-no-1,wharf-f-no-1,34.869000,128.694400,34.869100,128.697000,237.5,305.1,connector,18,1.02,true
R0022,1dock-s-no-2,wharf-f-no-2,34.871300,128.696800,34.870600,128.696800,77.8,84,internal_lane,12,0.42,true
R0023,1dock-s-no-2,wharf-f-no-3,34.871300,128.696800,34.870400,128.697600,123.9,133.7,internal_lane,12,0.67,true
R0024,1dock-s-no-2,wharf-f-no-4,34.871300,128.696800,34.870700,128.697800,113,122.1,internal_lane,12,0.61,true
R0025,1dock-s-no-3,1dock-s-no-4,34.875190,128.696680,34.873300,128.694800,271.3,311.3,connector,18,1.04,true
R0026,1dock-s-no-3,2dock-f-no-1,34.875190,128.696680,34.875200,128.701000,394.1,478.2,connector,18,1.59,true
R0027,2dock-f-no-1,2dock-f-no-2,34.875200,128.701000,34.876400,128.702300,178.5,231,internal_lane,12,1.16,true
R0028,2dock-f-no-1,2dock-s-no-1,34.875200,128.701000,34.873000,128.702100,264.4,293.4,connector,18,0.98,true
R0029,2dock-f-no-2,2dock-P-no-3,34.876400,128.702300,34.875200,128.704600,248.7,270,connector,18,0.9,true
R0030,2dock-P-no-1,2dock-P-no-2,34.873900,128.705400,34.874300,128.703700,161.3,195.4,internal_lane,12,0.98,true
R0031,2dock-P-no-1,2dock-P-no-3,34.873900,128.705400,34.875200,128.704600,161.9,196.3,internal_lane,12,0.98,true
R0032,2dock-P-no-1,2dock-s-no-2,34.873900,128.705400,34.873100,128.704000,155.6,201.9,internal_lane,12,1.01,true
R0033,2dock-P-no-2,2dock-P-no-3,34.874300,128.703700,34.875200,128.704600,129.4,155.7,internal_lane,12,0.78,true
R0034,2dock-P-no-2,2dock-s-no-1,34.874300,128.703700,34.873000,128.702100,205.4,249,internal_lane,12,1.25,true
R0035,2dock-P-no-2,2dock-s-no-2,34.874300,128.703700,34.873100,128.704000,136.2,165.3,internal_lane,12,0.83,true
R0036,2dock-P-no-3,2dock-P-no-4,34.875200,128.704600,34.875800,128.705300,92.4,111.2,internal_lane,12,0.56,true
