yard_code,yard_zone,process_code,process_zone,process_type,yard_lat,yard_lon,process_lat,process_lon,l2_distance_m,baseline_travel_time_min
1dock-s-no-1,1dock,1dock-P-no-1,1dock,도장공장,34.869000,128.694400,34.869100,128.693200,110,0.44
1dock-s-no-1,1dock,1dock-P-no-2,1dock,도장공장,34.869000,128.694400,34.870500,128.693100,204.7,0.82
1dock-s-no-1,1dock,1dock-P-no-3,1dock,도장공장,34.869000,128.694400,34.871100,128.692400,296.3,1.19
1dock-s-no-1,1dock,1dock-P-no-4,1dock,도장공장,34.869000,128.694400,34.872100,128.694800,346.6,1.39
1dock-s-no-1,1dock,1dock-P-no-5,1dock,도장공장,34.869000,128.694400,34.872900,128.695400,443.2,1.77
1dock-s-no-1,1dock,1dock-P-no-6,1dock,도장공장,34.869000,128.694400,34.871800,128.692800,343.9,1.38
1dock-s-no-1,1dock,1dock-P-no-7,1dock,도장공장,34.869000,128.694400,34.873500,128.694400,500.4,2
1dock-s-no-1,1dock,1dock-f-no-1,1dock,의장공장,34.869000,128.694400,34.876350,128.702080,1076.5,4.31
1dock-s-no-1,1dock,2dock-f-no-1,1dock,의장공장,34.869000,128.694400,34.875200,128.701000,915.3,3.66
1dock-s-no-1,1dock,2dock-f-no-2,1dock,의장공장,34.869000,128.694400,34.876400,128.702300,1093.8,4.38
1dock-s-no-1,1dock,2dock-P-no-1,2dock,도장공장,34.869000,128.694400,34.873900,128.705400,1141.9,4.57
1dock-s-no-1,1dock,2dock-P-no-2,2dock,도장공장,34.869000,128.694400,34.874300,128.703700,1033,4.13
1dock-s-no-1,1dock,2dock-P-no-3,2dock,도장공장,34.869000,128.694400,34.875200,128.704600,1158.1,4.63
1dock-s-no-1,1dock,2dock-P-no-4,2dock,도장공장,34.869000,128.694400,34.875800,128.705300,1249.2,5
1dock-s-no-1,1dock,2dock-P-no-5,2dock,도장공장,34.869000,128.694400,34.875400,128.706300,1298.1,5.19
1dock-s-no-1,1dock,wharf-f-no-1,내업/하역안벽 권역,의장공장,34.869000,128.694400,34.869100,128.697000,237.5,0.95
1dock-s-no-1,1dock,wharf-f-no-2,내업/하역안벽 권역,의장공장,34.869000,128.694400,34.870600,128.696800,282.1,1.13
1dock-s-no-1,1dock,wharf-f-no-3,내업/하역안벽 권역,의장공장,34.869000,128.694400,34.870400,128.697600,330.8,1.32
1dock-s-no-1,1dock,wharf-f-no-4,내업/하역안벽 권역,의장공장,34.869000,128.694400,34.870700,128.697800,363.2,1.45
1dock-s-no-1,1dock,wharf-f-no-5,내업/하역안벽 권역,의장공장,34.869000,128.694400,34.871700,128.704300,951.7,3.81
1dock-s-no-1,1dock,texaco-f-no-1,GBS/Texaco/E1 권역,의장공장,34.869000,128.694400,34.863100,128.706900,1315.6,5.26
1dock-s-no-1,1dock,texaco-f-no-2,GBS/Texaco/E1 권역,의장공장,34.869000,128.694400,34.863600,128.707100,1304.9,5.22
1dock-s-no-1,1dock,texaco-f-no-3,GBS/Texaco/E1 권역,의장공장,34.869000,128.694400,34.868800,128.706900,1140.6,4.56
1dock-s-no-1,1dock,texaco-p-no-1,GBS/Texaco/E1 권역,도장공장,34.869000,128.694400,34.862700,128.708300,1448.7,5.79
1dock-s-no-1,1dock,texaco-p-no-2,GBS/Texaco/E1 권역,도장공장,34.869000,128.694400,34.862500,128.708700,1491.4,5.97
1dock-s-no-1,1dock,texaco-p-no-3,GBS/Texaco/E1 권역,도장공장,34.869000,128.694400,34.864200,128.708300,1375.8,5.5
1dock-s-no-1,1dock,texaco-p-no-4,GBS/Texaco/E1 권역,도장공장,34.869000,128.694400,34.863300,128.709900,1549.6,6.2
1dock-s-no-1,1dock,texaco-p-no-5,GBS/Texaco/E1 권역,도장공장,34.869000,128.694400,34.866500,128.706900,1173.7,4.69
1dock-s-no-1,1dock,texaco-p-no-6,GBS/Texaco/E1 권역,도장공장,34.869000,128.694400,34.865700,128.708100,1302.6,5.21
1dock-s-no-1,1dock,texaco-p-no-7,GBS/Texaco/E1 권역,도장공장,34.869000,128.694400,34.866900,128.708100,1271.4,5.09
1dock-s-no-1,1dock,texaco-p-no-8,GBS/Texaco/E1 권역,도장공장,34.869000,128.694400,34.866400,128.708700,1336.2,5.34
1dock-s-no-1,1dock,texaco-p-no-9,GBS/Texaco/E1 권역,도장공장,34.869000,128.694400,34.868700,128.706900,1140.8,4.56
