block_code,paint_code,paintF,outfitS,outfitF,width,height
B001,1dock-P-no-1,2022-02-01,2022-02-05,2022-02-10,6,9
B002,texaco-p-no-1,2022-02-01,2022-02-04,2022-02-07,7,15
B003,1dock-P-no-2,2022-02-02,2022-02-03,2022-02-09,7,12
B004,2dock-P-no-1,2022-02-03,2022-02-06,2022-02-10,2,9
B005,2dock-P-no-2,2022-02-07,2022-02-08,2022-02-10,5,12
B006,1dock-P-no-7,2022-02-07,2022-02-11,2022-02-14,70,16
B007,1dock-P-no-2,2022-02-08,2022-02-13,2022-02-14,5,9
B008,1dock-P-no-1,2022-02-10,2022-02-15,2022-02-19,7,17
B009,1dock-P-no-2,2022-02-10,2022-02-12,2022-02-17,13,18
B010,1dock-P-no-2,2022-02-10,2022-02-14,2022-02-18,4,10
B011,e4-p-no-1,2022-02-20,2022-02-20,2022-02-28,18,10
