code,position,object,GPS,number,width,depth,area(m^2)
1dock-P-no-1,1dock,도장공장,"34.8691, 128.6932",5,140,44,"6,160"
1dock-P-no-2,1dock,도장공장,"34.8705, 128.6931",10,154,50,"7,700"
1dock-P-no-3,1dock,도장공장,"34.8711, 128.6924",5,154,20,"3,080"
1dock-P-no-4,1dock,도장공장,"34.8721, 128.6948",5,72,70,"5,040"
1dock-P-no-5,1dock,도장공장,"34.8729, 128.6954",5,43,70,"3,010"
1dock-P-no-6,1dock,도장공장,"34.8718, 128.6928",7,198,26,"5,148"
1dock-P-no-7,1dock,도장공장,"34.8735, 128.6944",7,224,29,"6,496"
1dock-s-no-1,1dock,적치장,"34.8690, 128.6944",4,19 / 25,90 / 15,"2,085"
1dock-s-no-2,1dock,적치장,"34.8713, 128.6968",2,46,12,552
1dock-s-no-3,1dock,적치장,"34.87519, 128.69668",11,85,95,"8,075"
1dock-s-no-4,1dock,적치장,"34.8733, 128.6948",6,43,70,"3,010"
1dock-f-no-1,1dock,의장공장,"34.87635, 128.70208",2,53,29,"1,537"
2dock-f-no-1,1dock,의장공장,"34.8752, 128.7010",7,137,46,"6,302"
2dock-f-no-2,1dock,의장공장,"34.8764, 128.7023",4,76,39,"2,964"
2dock-P-no-1,2dock,도장공장,"34.8739, 128.7054",20,60 / 185,61 / 60,"14,760"
2dock-P-no-2,2dock,도장공장,"34.8743, 128.7037",4,60,51,"3,060"
2dock-P-no-3,2dock,도장공장,"34.8752, 128.7046",5,76 / 93,31 / 38,"5,890"
2dock-P-no-4,2dock,도장공장,"34.8758, 128.7053",2,25,46,"1,150"
2dock-P-no-5,2dock,도장공장,"34.8754, 128.7063",8,47,103,"4,841"
2dock-s-no-1,2dock,적치장,"34.8730, 128.7021",6,47,55,"2,585"
2dock-s-no-2,2dock,적치장,"34.8731, 128.7040",8,59 / 55,20 / 100,"6,680"
2dock-s-no-3,2dock,적치장,"34.8725, 128.7040",2,34,20,680
2dock-s-no-4,2dock,적치장,"34.8765, 128.7070",12,71,103,"7,210"
wharf-f-no-1,내업/하역안벽 권역,의장공장,"34.8691, 128.6970",14,121,100,"12,100"
wharf-f-no-2,내업/하역안벽 권역,의장공장,"34.8706, 128.6968",7,121 / 70,19 / 29,"4,329"
wharf-f-no-3,내업/하역안벽 권역,의장공장,"34.8704, 128.6976",4,31,91,"2,821"
wharf-f-no-4,내업/하역안벽 권역,의장공장,"34.8707, 128.6978",6,26,144,"3,744"
wharf-f-no-5,내업/하역안벽 권역,의장공장,"34.8717, 128.7043",1,43,22,946
wharf-s-no-1,내업/하역안벽 권역,적치장,"34.8717, 128.7048",4,31,93,"2,883"
texaco-f-no-1,GBS/Texaco/E1 권역,의장공장,"34.8631, 128.7069",1,93,41,"3,813"
texaco-f-no-2,GBS/Texaco/E1 권역,의장공장,"34.8636, 128.7071",6,54 / 57,80 / 68,"8,196"
texaco-f-no-3,GBS/Texaco/E1 권역,의장공장,"34.8688, 128.7069",6,78,52,"4,056"
texaco-s-no-1,GBS/Texaco/E1 권역,적치장,"34.8679, 128.7068",6,50 / 45,87 / 20,"5,250"
texaco-s-no-2,GBS/Texaco/E1 권역,적치장,"34.8685, 128.7096",20,90 / 67 / 155,28 / 22 / 79,"16,239"
texaco-s-no-3,GBS/Texaco/E1 권역,적치장,"34.8690, 128.7086",18,65 / 67,19 / 94,"7,533"
texaco-s-no-4,GBS/Texaco/E1 권역,적치장,"34.8690, 128.7117",35,205,113,"23,165"
texaco-s-no-5,GBS/Texaco/E1 권역,적치장,"34.8683, 128.7120",24,183 / 176,13 / 102,"20,331"
texaco-s-no-6,GBS/Texaco/E1 권역,적치장,"34.8645, 128.7087",6,42,68,"2,856"
texaco-p-no-1,GBS/Texaco/E1 권역,도장공장,"34.8627, 128.7083",2,73,31,"2,263"
texaco-p-no-2,GBS/Texaco/E1 권역,도장공장,"34.8625, 128.7087",2,31 / 31,31 / 31,"1,922"
texaco-p-no-3,GBS/Texaco/E1 권역,도장공장,"34.8642, 128.7083",12,85,68,"5,780"
texaco-p-no-4,GBS/Texaco/E1 권역,도장공장,"34.8633, 128.7099",8,96,78,"7,488"
texaco-p-no-5,GBS/Texaco/E1 권역,도장공장,"34.8665, 128.7069",18,96 / 85,61 / 57,"10,701"
texaco-p-no-6,GBS/Texaco/E1 권역,도장공장,"34.8657, 128.7081",4,42,57,"2,394"
texaco-p-no-7,GBS/Texaco/E1 권역,도장공장,"34.8669, 128.7081",9,23 / 51,85 / 79,"5,984"
texaco-p-no-8,GBS/Texaco/E1 권역,도장공장,"34.8664, 128.7087",6,23 / 50,56 / 57,"4,138"
texaco-p-no-9,GBS/Texaco/E1 권역,도장공장,"34.8687, 128.7069",6,해당구역없음,,
e4-p-no-1,E4,도장공장,"34.8779, 128.7195",2,19,40,760
e4-p-no-2,E4,도장공장,"34.8782, 128.7200",5,42 / 42,40 / 40,"3,360"
e4-p-no-3,E4,도장공장,"34.8792, 128.7210",5,86,40,"3,440"
e4-p-no-4,E4,도장공장,"34.8794, 128.7198",6,230,20,"4,600"
e4-p-no-5,E4,도장공장,"34.8791, 128.7187",4,28,80,"2,240"
e4-p-no-6,E4,도장공장,"34.8795, 128.7193",12,86,80,"6,880"
e4-p-no-7,E4,도장공장,"34.8798, 128.7199",6,86,45,"3,870"
e4-p-no-8,E4,도장공장,"34.8803, 128.7207",2,33 / 41,63 / 20,"2,899"
e4-p-no-9,E4,도장공장,"34.8803, 128.7185",5,100,71,"7,100"
e4-f-no-1,E4,의장공장,"34.8744, 128.7190",4,72,48,"3,456"
e4-f-no-2,E4,의장공장,"34.8745, 128.7192",7,53,119,"6,307"
e4-f-no-3,E4,의장공장,"34.8747, 128.7192",6,53,76,"4,028"
e4-f-no-4,E4,의장공장,"34.8748, 128.7192",6,53,60,"3,180"
e4-f-no-5,E4,의장공장,"34.8752, 128.7195",6,85,60,"5,100"
e4-s-no-1,E4,적치장,"34.8790, 128.7176",3,첨부참조,첨부참조,첨부참조
e4-s-no-2,E4,적치장,"34.8807, 128.7198",2,50,71,"3,550"
e4-s-no-3,E4,적치장,"34.8773, 128.7195",5,40 / 40,20 / 20,"1,600"
e4-s-no-4,E4,적치장,"34.8813, 128.7243",2,50,60,"3,000"
e4-s-no-5,E4,적치장,"34.8818, 128.7252",4,75,60,"4,500"
e4-s-no-6,E4,적치장,"34.8842, 128.7252",2,56,83,"4,648"
